@relation balance-10-8tra.dat
@attribute Left-weight real [1.0, 5.0]
@attribute Left-distance real [1.0, 5.0]
@attribute Right-weight real [1.0, 5.0]
@attribute Right-distance real [1.0, 5.0]
@attribute Balance_scale integer [1, 3]
@inputs Left-weight, Left-distance, Right-weight, Right-distance
@outputs Balance_scale
@data
0.0, 0.0, 0.0, 0.0, 2
0.0, 0.0, 0.0, 0.25, 3
0.0, 0.0, 0.0, 0.5, 3
0.0, 0.0, 0.0, 0.75, 3
0.0, 0.0, 0.0, 1.0, 3
0.0, 0.0, 0.25, 0.0, 3
0.0, 0.0, 0.25, 0.25, 3
0.0, 0.0, 0.25, 1.0, 3
0.0, 0.0, 0.5, 0.0, 3
0.0, 0.0, 0.5, 0.5, 3
0.0, 0.0, 0.5, 0.75, 3
0.0, 0.0, 0.5, 1.0, 3
0.0, 0.0, 0.75, 0.0, 3
0.0, 0.0, 0.75, 0.25, 3
0.0, 0.0, 0.75, 0.5, 3
0.0, 0.0, 0.75, 0.75, 3
0.0, 0.0, 0.75, 1.0, 3
0.0, 0.0, 1.0, 0.0, 3
0.0, 0.0, 1.0, 0.25, 3
0.0, 0.0, 1.0, 0.5, 3
0.0, 0.0, 1.0, 0.75, 3
0.0, 0.0, 1.0, 1.0, 3
0.0, 0.25, 0.0, 0.0, 1
0.0, 0.25, 0.0, 0.5, 3
0.0, 0.25, 0.0, 0.75, 3
0.0, 0.25, 0.0, 1.0, 3
0.0, 0.25, 0.25, 0.0, 2
0.0, 0.25, 0.25, 0.25, 3
0.0, 0.25, 0.25, 0.5, 3
0.0, 0.25, 0.25, 0.75, 3
0.0, 0.25, 0.25, 1.0, 3
0.0, 0.25, 0.5, 0.0, 3
0.0, 0.25, 0.5, 0.25, 3
0.0, 0.25, 0.5, 0.5, 3
0.0, 0.25, 0.5, 1.0, 3
0.0, 0.25, 0.75, 0.0, 3
0.0, 0.25, 0.75, 0.25, 3
0.0, 0.25, 0.75, 0.5, 3
0.0, 0.25, 0.75, 0.75, 3
0.0, 0.25, 0.75, 1.0, 3
0.0, 0.25, 1.0, 0.0, 3
0.0, 0.25, 1.0, 0.25, 3
0.0, 0.25, 1.0, 0.5, 3
0.0, 0.25, 1.0, 1.0, 3
0.0, 0.5, 0.0, 0.0, 1
0.0, 0.5, 0.0, 0.25, 1
0.0, 0.5, 0.0, 0.5, 2
0.0, 0.5, 0.0, 0.75, 3
0.0, 0.5, 0.0, 1.0, 3
0.0, 0.5, 0.25, 0.0, 1
0.0, 0.5, 0.25, 0.25, 3
0.0, 0.5, 0.25, 0.5, 3
0.0, 0.5, 0.25, 0.75, 3
0.0, 0.5, 0.25, 1.0, 3
0.0, 0.5, 0.5, 0.25, 3
0.0, 0.5, 0.5, 0.75, 3
0.0, 0.5, 0.5, 1.0, 3
0.0, 0.5, 0.75, 0.0, 3
0.0, 0.5, 0.75, 0.25, 3
0.0, 0.5, 0.75, 1.0, 3
0.0, 0.5, 1.0, 0.0, 3
