@relation ionosphere-10-10tst.dat
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class integer [0, 1]
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 0.9999999999999999, 0.274, 1.0, 1.0, 0.712, 0.0, 0.2987377279102384, 0.5, 0.5, 0.5, 0.484270242392986, 0.5, 0.0, 0.5725, 0.7705, 0.3035, 0.0, 0.16980118216012896, 0.15000000000000002, 1.0, 0.5, 0.41417691857059175, 1.0, 0.9535, 0.7267080745341614, 1.0, 1.0, 0.39949999999999997, 0.5761551625784369, 1.0, 0.26931567328918316, 1.0, 1
1, 0.9701244813278007, 0.464, 1.0, 0.4285, 1.0, 0.39567621920563095, 1.0, 0.319, 0.9630000000000001, 0.28200000000000003, 0.9716348633316141, 0.2965, 0.952, 0.268, 0.9915, 0.3235, 0.9225, 0.10800644814615795, 0.8765000000000001, 0.1388739946380697, 0.848, 0.038078500292911543, 0.9255, 0.173, 0.7605872388481083, 0.15150000000000002, 0.627, 0.1805, 0.6868225898459783, 0.136, 0.6628035320088299, 0.053493449781659375, 0
0, 0.9999999999999999, 0.0, 0.5, 0.5, 0.0, 0.5027652086475616, 1.0, 1.0, 1.0, 0.0, 0.113460546673543, 1.0, 0.5, 0.5, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.7434094903339192, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.9999999999999999, 1.0, 1
0, 0.9999999999999999, 1.0, 1.0, 0.0, 0.0, 0.5027652086475616, 0.2987377279102384, 0.5, 0.0, 0.0, 0.484270242392986, 0.5, 0.5, 0.5, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0000000000000002, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.44812362030905073, 0.45414847161572053, 1
1, 0.9917012448132779, 0.471, 0.999, 0.435, 0.987, 0.40522875816993464, 0.9957924263674613, 0.371, 0.9635, 0.34950000000000003, 0.9623517276946879, 0.31, 0.9490000000000001, 0.281, 0.9245, 0.2395, 0.937, 0.15583019881783988, 0.895, 0.1431635388739947, 0.8734999999999999, 0.03573520796719387, 0.8415, 0.15749999999999997, 0.8035008469791078, 0.134, 0.8049999999999999, 0.123, 0.7421563034797489, 0.09849999999999998, 0.7196467991169977, 0.0, 0
1, 0.1701244813278008, 0.5, 1.0, 0.7585, 0.0, 0.5027652086475616, 0.3758765778401122, 0.0, 0.5, 0.5, 0.484270242392986, 0.5, 0.0, 0.388, 0.22149999999999997, 0.08350000000000002, 0.8845000000000001, 0.8017195056421278, 0.5, 0.4638069705093834, 0.767, 0.6233157586408905, 0.04849999999999999, 0.724, 1.0, 0.0, 0.0, 0.9079999999999999, 0.42954934398174555, 0.5, 0.44812362030905073, 0.45414847161572053, 1
1, 0.6481327800829875, 0.492, 0.702, 0.5, 0.384, 0.567621920563097, 0.579242636746143, 0.47050000000000003, 0.7825, 0.5705, 0.7251160391954615, 0.541, 0.7625, 0.4725, 0.79, 0.508, 0.751, 0.4626544868350349, 0.7295, 0.4997319034852547, 0.79, 0.4622144112478032, 0.749, 0.502, 0.709768492377188, 0.55, 0.7315, 0.541, 0.6868225898459783, 0.6174999999999999, 0.6859823399558498, 0.5485807860262009, 0
1, 0.5319502074688797, 0.4365, 0.7909999999999999, 0.4275, 0.182, 0.1644042232277526, 0.5406732117812061, 0.482, 0.6455, 0.4725, 0.634347601856627, 0.6455, 0.6819999999999999, 0.29100000000000004, 0.6, 0.491, 0.6819999999999999, 0.492208490059108, 0.5635, 0.7270777479892762, 0.8089999999999999, 0.5102519039250147, 0.6635, 0.582, 0.6674195369847543, 0.46499999999999997, 0.6725, 0.4725, 0.5019965772960638, 0.318, 0.6087196467991169, 0.2953056768558952, 1
1, 0.9999999999999999, 1.0, 0.5, 0.5, 0.0, 0.5027652086475616, 0.2987377279102384, 0.5, 0.7384999999999999, 0.05449999999999999, 0.2186694172253738, 0.7275, 0.02250000000000002, 0.643, 0.8235, 1.0, 0.5, 0.4626544868350349, 0.5, 0.4638069705093834, 0.81, 0.5330990041007617, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.42954934398174555, 0.5, 0.44812362030905073, 0.45414847161572053, 1
1, 0.9659751037344397, 0.5505, 1.0, 0.4905, 0.983, 0.5158371040723981, 0.9789621318373072, 0.4535, 0.995, 0.4865, 0.9896854048478596, 0.4845, 1.0, 0.4735, 1.0, 0.474, 0.969, 0.4712520150456743, 0.988, 0.41394101876675604, 0.9895, 0.3831282952548331, 0.958, 0.4215, 0.9757199322416712, 0.46499999999999997, 0.9550000000000001, 0.5065, 1.0, 0.446, 0.9619205298013245, 0.4164847161572052, 0
