@relation ionosphere-10-7tra.dat
@attribute Pulse1 integer [0, 1]
@attribute Pulse3 real [-1.0, 1.0]
@attribute Pulse4 real [-1.0, 1.0]
@attribute Pulse5 real [-1.0, 1.0]
@attribute Pulse6 real [-1.0, 1.0]
@attribute Pulse7 real [-1.0, 1.0]
@attribute Pulse8 real [-1.0, 1.0]
@attribute Pulse9 real [-1.0, 1.0]
@attribute Pulse10 real [-1.0, 1.0]
@attribute Pulse11 real [-1.0, 1.0]
@attribute Pulse12 real [-1.0, 1.0]
@attribute Pulse13 real [-1.0, 1.0]
@attribute Pulse14 real [-1.0, 1.0]
@attribute Pulse15 real [-1.0, 1.0]
@attribute Pulse16 real [-1.0, 1.0]
@attribute Pulse17 real [-1.0, 1.0]
@attribute Pulse18 real [-1.0, 1.0]
@attribute Pulse19 real [-1.0, 1.0]
@attribute Pulse20 real [-1.0, 1.0]
@attribute Pulse21 real [-1.0, 1.0]
@attribute Pulse22 real [-1.0, 1.0]
@attribute Pulse23 real [-1.0, 1.0]
@attribute Pulse24 real [-1.0, 1.0]
@attribute Pulse25 real [-1.0, 1.0]
@attribute Pulse26 real [-1.0, 1.0]
@attribute Pulse27 real [-1.0, 1.0]
@attribute Pulse28 real [-1.0, 1.0]
@attribute Pulse29 real [-1.0, 1.0]
@attribute Pulse30 real [-1.0, 1.0]
@attribute Pulse31 real [-1.0, 1.0]
@attribute Pulse32 real [-1.0, 1.0]
@attribute Pulse33 real [-1.0, 1.0]
@attribute Pulse34 real [-1.0, 1.0]
@attribute Class integer [0, 1]
@inputs Pulse1, Pulse3, Pulse4, Pulse5, Pulse6, Pulse7, Pulse8, Pulse9, Pulse10, Pulse11, Pulse12, Pulse13, Pulse14, Pulse15, Pulse16, Pulse17, Pulse18, Pulse19, Pulse20, Pulse21, Pulse22, Pulse23, Pulse24, Pulse25, Pulse26, Pulse27, Pulse28, Pulse29, Pulse30, Pulse31, Pulse32, Pulse33, Pulse34
@outputs Class
@data
1, 0.9975, 0.47050000000000003, 0.9259999999999999, 0.5115, 0.917, 0.3115, 1.0, 0.519, 0.9259999999999999, 0.41100000000000003, 0.7989999999999999, 0.27549999999999997, 0.8025, 0.309, 0.9219999999999999, 0.3075, 0.7909999999999999, 0.33899999999999997, 0.7849999999999999, 0.35150000000000003, 0.6845, 0.263, 0.784, 0.244, 0.7055, 0.269, 0.6065, 0.3295, 0.7115, 0.22749999999999998, 0.593, 0.27349999999999997, 0
1, 1.0, 0.274, 1.0, 1.0, 0.856, 0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5725, 0.7705, 0.3035, 0.0, 0.22749999999999998, 0.15000000000000002, 1.0, 0.5, 0.5, 1.0, 0.9535, 0.758, 1.0, 1.0, 0.39949999999999997, 0.6285000000000001, 1.0, 0.33799999999999997, 1.0, 1
1, 1.0, 0.488, 0.9704999999999999, 0.5325, 0.9605, 0.3835, 0.886, 0.418, 0.764, 0.39849999999999997, 0.782, 0.4965, 0.6719999999999999, 0.3625, 0.7645, 0.391, 0.7255, 0.41100000000000003, 0.53, 0.322, 0.5115, 0.2355, 0.5165, 0.174, 0.5665, 0.23399999999999999, 0.512, 0.189, 0.4715, 0.202, 0.477, 0.17149999999999999, 0
1, 0.5115, 0.497, 0.4505, 0.4405, 0.496, 0.441, 0.5735, 0.533, 0.519, 0.4685, 0.5, 0.5, 0.477, 0.4225, 0.4985, 0.449, 0.442, 0.473, 0.509, 0.5185, 0.5075, 0.5045, 0.5175, 0.4925, 0.484, 0.546, 0.4605, 0.5035, 0.5, 0.5, 0.5, 0.56, 1
1, 0.988, 0.447, 0.973, 0.396, 0.964, 0.358, 0.9299999999999999, 0.3635, 0.899, 0.2605, 0.891, 0.246, 0.873, 0.193, 0.7895, 0.15949999999999998, 0.6895, 0.132, 0.6815, 0.11699999999999999, 0.6595, 0.10099999999999998, 0.614, 0.09200000000000003, 0.5685, 0.08750000000000002, 0.523, 0.08800000000000002, 0.4785, 0.09350000000000003, 0.431, 0.09499999999999997, 0
0, 0.5, 0.5, 0.5, 0.5, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 1.0, 0.5, 0.5, 1
1, 0.982, 0.464, 1.0, 0.4285, 1.0, 0.3935, 1.0, 0.319, 0.9630000000000001, 0.28200000000000003, 0.9724999999999999, 0.2965, 0.952, 0.268, 0.9915, 0.3235, 0.9225, 0.16999999999999998, 0.8765000000000001, 0.197, 0.848, 0.179, 0.9255, 0.173, 0.788, 0.15150000000000002, 0.627, 0.1805, 0.7255, 0.136, 0.6945, 0.133, 0
1, 0.4905, 0.4575, 0.5, 0.5, 0.5, 0.5, 0.5575, 0.366, 0.27149999999999996, 0.309, 0.5, 0.5, 0.3315, 0.6930000000000001, 0.3145, 0.575, 0.8185, 0.6105, 0.5, 0.5, 0.5, 0.5, 0.426, 0.4935, 0.603, 0.4885, 0.5, 0.5, 0.583, 0.6205, 0.459, 0.6905, 1
1, 1.0, 0.5335, 1.0, 0.40800000000000003, 1.0, 0.3635, 1.0, 0.2845, 1.0, 0.2935, 0.981, 0.2405, 0.9535, 0.20500000000000002, 0.946, 0.16749999999999998, 0.8494999999999999, 0.14500000000000002, 0.853, 0.1185, 0.8155, 0.09749999999999998, 0.7795000000000001, 0.05449999999999999, 0.736, 0.0675, 0.7015, 0.08150000000000002, 0.655, 0.05449999999999999, 0.615, 0.05399999999999999, 0
1, 1.0, 0.22899999999999998, 1.0, 0.0, 1.0, 0.0, 1.0, 0.681, 1.0, 0.2945, 1.0, 1.0, 1.0, 0.0, 1.0, 0.353, 1.0, 0.03199999999999997, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2955, 1.0, 0.1865, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1
