@relation monk-2-10-3tst.dat
@attribute A1 integer [1, 3]
@attribute A2 integer [1, 3]
@attribute A3 integer [1, 2]
@attribute A4 integer [1, 3]
@attribute A5 integer [1, 4]
@attribute A6 integer [1, 2]
@attribute Class integer [0, 1]
@inputs A1, A2, A3, A4, A5, A6
@outputs Class
@data
0, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1
0, 0, 0, 1, 0, 1, 1
0, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 0
0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 0, 1, 0
0, 1, 0, 1, 0, 0, 0
0, 1, 1, 0, 1, 1, 0
0, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 1
0, 0, 0, 1, 0, 1, 1
0, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 1, 1
0, 0, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 1
1, 0, 0, 0, 0, 1, 1
1, 0, 0, 1, 0, 1, 1
1, 0, 1, 0, 0, 1, 1
1, 0, 1, 1, 0, 0, 1
1, 0, 1, 1, 0, 1, 1
1, 0, 1, 1, 0, 1, 1
1, 1, 0, 0, 0, 0, 1
1, 1, 0, 1, 0, 0, 0
1, 1, 1, 1, 0, 0, 0
0, 1, 0, 0, 1, 1, 0
0, 1, 0, 1, 1, 1, 0
1, 0, 0, 0, 0, 0, 1
1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 0, 0
